39.27	1.65	59.43	3.64	2.14	142.86	21.93	5	5	37.79
38.43	1.686	61.05	3.67	2.19	138.31	21.70	5	5	38.20
38.92	1.665	61.44	3.65	2.16	140.93	21.83	5	5	37.97
39.61	1.636	62.86	3.62	2.12	144.69	22.03	5	5	37.63
38.94	1.664	60.38	3.65	2.16	141.06	21.84	5	5	37.95
38.43	1.686	56.06	3.67	2.19	138.31	21.70	5	5	38.20
39.32	1.648	56.56	3.63	2.14	143.12	21.95	5	5	37.77
38.92	1.665	58.93	3.65	2.16	140.93	21.83	5	5	37.97
38.25	1.694	56.03	3.68	2.20	137.33	21.65	5	5	38.29
39.75	1.63	58.02	3.61	2.11	145.49	22.07	5	5	37.56
38.66	1.676	63.59	3.66	2.17	139.54	21.76	5	5	38.09
38.46	1.685	59.13	3.67	2.18	138.43	21.70	5	5	38.19
39.04	1.66	62.93	3.65	2.15	141.57	21.87	5	5	37.91
38.69	1.675	63.56	3.66	2.17	139.67	21.77	5	5	38.08
38.64	1.677	62.52	3.66	2.17	139.42	21.76	5	5	38.10
38.46	1.685	59.61	3.67	2.18	138.43	21.70	5	5	38.19
39.13	1.656	60.59	3.64	2.15	142.08	21.89	5	5	37.86
38.41	1.687	62.11	3.68	2.19	138.18	21.69	5	5	38.22
38.53	1.682	65.70	3.67	2.18	138.80	21.72	5	5	38.16
39.51	1.64	59.33	3.62	2.13	144.16	22.00	5	5	37.68
38.39	1.688	64.08	3.68	2.19	138.06	21.69	5	5	38.23
38.62	1.678	59.58	3.67	2.18	139.30	21.75	5	5	38.11
38.99	1.662	62.58	3.65	2.15	141.31	21.85	5	5	37.93
39.01	1.661	59.19	3.65	2.15	141.44	21.86	5	5	37.92
38.30	1.692	61.59	3.68	2.19	137.57	21.66	5	5	38.27
38.71	1.674	58.17	3.66	2.17	139.79	21.78	5	5	38.07
37.72	1.718	59.83	3.71	2.23	134.46	21.50	5	5	38.56
38.76	1.672	58.14	3.66	2.17	140.05	21.79	5	5	38.04
37.87	1.711	63.54	3.70	2.22	135.28	21.54	5	5	38.49
39.44	1.643	58.28	3.63	2.13	143.77	21.98	5	5	37.71
39.06	1.659	58.41	3.64	2.15	141.70	21.87	5	5	37.90
39.54	1.639	62.01	3.62	2.12	144.30	22.01	5	5	37.67
38.85	1.668	58.72	3.65	2.16	140.55	21.82	5	5	38.00
38.50	1.683	61.25	3.67	2.18	138.67	21.72	5	5	38.17
39.58	1.637	59.40	3.62	2.12	144.56	22.02	5	5	37.64
39.11	1.657	59.56	3.64	2.15	141.95	21.89	5	5	37.87
39.27	1.65	58.07	3.64	2.14	142.86	21.93	5	5	37.79
39.34	1.647	58.53	3.63	2.14	143.25	21.95	5	5	37.76
38.48	1.684	62.19	3.67	2.18	138.55	21.71	5	5	38.18
39.98	1.621	60.68	3.60	2.10	146.71	22.13	5	5	37.46
39.44	1.643	61.28	3.63	2.13	143.77	21.98	5	5	37.71
39.54	1.639	55.00	3.62	2.12	144.30	22.01	5	5	37.67
39.32	1.648	59.62	3.63	2.14	143.12	21.95	5	5	37.77
39.39	1.645	56.32	3.63	2.13	143.51	21.97	5	5	37.74
38.19	1.697	56.22	3.69	2.20	136.96	21.63	5	5	38.33
38.46	1.685	62.30	3.67	2.18	138.43	21.70	5	5	38.19
